group,id,endpoint,verb,auth,lines,triage,triage_reason,tables_written,tables_read_or_written,external_calls,env_vars,has_retry_loop,errors,inputs,description
1_Authentication,1,auth/login,POST,none,65,DROP,Xano starter template; zero traffic,,user,,,,Invalid Credentials.,email:email? text:password?,Login and retrieve an authentication token
1_Authentication,2,auth/signup,POST,none,57,DROP,Xano starter template; zero traffic,user,user,,,,This account is already in use.,text:name? email:email? text:password?,Signup and retrieve an authentication token
1_Authentication,3,auth/me,GET,user,30,DROP,Xano starter template; zero traffic,,user,,,,,,Get the user record belonging to the authentication token
1_Authentication,4,reset/request-reset-link,GET,none,73,DROP,Xano starter template; zero traffic,,,,,,Magic link could not be created. Try again.,email:email?,Request a one-time magic link to reset password
1_Authentication,5,reset/magic-link-login,POST,none,95,DROP,Xano starter template; zero traffic,user,user,,,,Magic token has expired. Please request another one. | The token did not match | This magic link has already been used. Please request another one. | email is required but not provided | magic_token is required but was not provided.,text:magic_token? text:email?,Exchanges magic token for auth token. Logs in user with the one-time link.
1_Authentication,6,reset/update_password,POST,user,53,DROP,Xano starter template; zero traffic,user,user,,,,Passwords do not match!,text:password? text:confirm_password?,Allows user to update the password in the password reset flow
1_Authentication,7,message/send_welcome_email,POST,none,55,DROP,Xano starter template; zero traffic,,user,,,,User not found.,int:user_id,Use this endpoint to send a welcome email to a user
1_Authentication,8,1_start_here_demo_page,GET,none,1180,DROP,Xano starter template; zero traffic,,,,,yes,,,"This endpoint provides a demo UI when pasted in your browser so you can interact with your Xano APIs for authentication, password reset, and chatbot conversation. It helps demonstrate how a backend interacts with a front-end to create a full app experience. This page is just a demo page that is meant to be removed later, not edited and built upon."
1_Authentication,9,demo-agent/conversation,POST,user,111,DROP,Xano starter template; zero traffic,"agent_conversation,agent_message","agent_conversation,agent_message",,,,,int?:conversation_id? json:message?,This is the demo agent endpoint used to connect to the Xano Demo AI Agent that answers questions about Xano by referencing documentation. You can access your Xano Demo AI Agent in AI > Agents.
2_Members & Accounts,10,account/my_team_members,GET,user,32,DROP,Xano starter template; zero traffic,,user,,,,,,See the users that belong to the same account as the authenticated user
2_Members & Accounts,11,admin/user_role,POST,user,67,DROP,Xano starter template; zero traffic,user,user,,,,Admin can only update roles for users within their own account. | Target user not found.,int:user_id text:new_role,For admin to update the role of a user on the same account
2_Members & Accounts,12,user/edit_profile,PATCH,user,51,DROP,Xano starter template; zero traffic,user,user,,,,You don't have access to edit this!,text:name? email:email?,Update a user's profile
2_Members & Accounts,13,account/details,GET,none,20,DROP,Xano starter template; zero traffic,,account,,,,,int:account_id,See account details
2_Members & Accounts,14,user/join_account,POST,user,57,DROP,Xano starter template; zero traffic,user,"account,user",,,,Account not found. | Authenticated user not found.,int:account_id,Allows the user to join an existing account
2_Members & Accounts,15,account,POST,user,50,DROP,Xano starter template; zero traffic,"account,user","account,user",,,,,text:name text:description? text:location?,"Allows the authenticated user to create an account. The user creating it, becomes the admin/owner of the account"
3_Event Logs,16,logs/user/my_events,GET,user,19,DROP,Xano starter template; zero traffic,,event_log,,,,,,Pull all event logs for the authenticated user
3_Event Logs,17,logs/admin/account_events,GET,user,39,DROP,Xano starter template; zero traffic,,"event_log,user",,,,Access Denied: Only administrators can view account events.,,See all user events for a given account. Admin only
3_Event Logs,18,children/{children_id},DELETE,none,17,DROP,Xano starter template; zero traffic,,,,,,,int:children_id?,Delete children record.
3_Event Logs,19,children/{children_id},GET,none,22,DROP,Xano starter template; zero traffic,,,,,,Not Found.,int:children_id?,Get children record
3_Event Logs,20,children,GET,none,15,DROP,Xano starter template; zero traffic,,,,,,,,Query all children records
3_Event Logs,21,children,POST,none,16,DROP,Xano starter template; zero traffic,,,,,,,,Add children record
3_Event Logs,22,children/{children_id},PATCH,none,23,DROP,Xano starter template; zero traffic,,,,,,,int:children_id?,Edit children record
3_Event Logs,23,user_01/{user_01_id},DELETE,none,17,DROP,Xano starter template; zero traffic,,,,,,,uuid:user_01_id?,Delete User_01 record.
3_Event Logs,24,user_01/{user_01_id},GET,none,22,DROP,Xano starter template; zero traffic,,User_01,,,,Not Found.,uuid:user_01_id?,Get User_01 record
3_Event Logs,25,user_01,GET,none,15,DROP,Xano starter template; zero traffic,,User_01,,,,,,Query all User_01 records
3_Event Logs,26,user_01,POST,none,19,DROP,Xano starter template; zero traffic,User_01,User_01,,,,,,Add User_01 record
3_Event Logs,27,user_01/{user_01_id},PATCH,none,26,DROP,Xano starter template; zero traffic,User_01,User_01,,,,,uuid:user_01_id?,Edit User_01 record
3_Event Logs,28,journey/{journey_id},DELETE,none,17,DROP,Xano starter template; zero traffic,,,,,,,uuid:journey_id?,Delete Journey record.
3_Event Logs,29,journey/{journey_id},GET,none,22,DROP,Xano starter template; zero traffic,,Journey,,,,Not Found.,uuid:journey_id?,Get Journey record
3_Event Logs,30,journey,GET,none,15,DROP,Xano starter template; zero traffic,,Journey,,,,,,Query all Journey records
3_Event Logs,31,journey,POST,none,19,DROP,Xano starter template; zero traffic,Journey,Journey,,,,,,Add Journey record
3_Event Logs,32,journey/{journey_id},PATCH,none,26,DROP,Xano starter template; zero traffic,Journey,Journey,,,,,uuid:journey_id?,Edit Journey record
3_Event Logs,33,insights/{insights_id},DELETE,none,17,DROP,Xano starter template; zero traffic,,,,,,,uuid:insights_id?,Delete Insights record.
3_Event Logs,34,insights/{insights_id},GET,none,22,DROP,Xano starter template; zero traffic,,Insights,,,,Not Found.,uuid:insights_id?,Get Insights record
3_Event Logs,35,insights,GET,none,15,DROP,Xano starter template; zero traffic,,Insights,,,,,,Query all Insights records
3_Event Logs,36,insights,POST,none,19,DROP,Xano starter template; zero traffic,Insights,Insights,,,,,,Add Insights record
3_Event Logs,37,insights/{insights_id},PATCH,none,26,DROP,Xano starter template; zero traffic,Insights,Insights,,,,,uuid:insights_id?,Edit Insights record
3_Event Logs,38,purchases/{purchases_id},DELETE,none,17,DROP,Xano starter template; zero traffic,,,,,,,uuid:purchases_id?,Delete Purchases record.
3_Event Logs,39,purchases/{purchases_id},GET,none,22,DROP,Xano starter template; zero traffic,,Purchases,,,,Not Found.,uuid:purchases_id?,Get Purchases record
